county,kmeans_cluster,hc_single,cut_tree_single,hc_complete,cut_tree_complete,hc_average,cut_tree_average,hc_ward,cut_tree_ward
ADAMS,1,0,0,0,0,0,0,1,0
ASOTIN,2,0,0,0,0,0,0,3,1
BENTON,0,0,0,1,1,0,0,0,2
CHELAN,0,0,0,1,1,0,0,1,0
CLALLAM,1,0,0,0,0,0,0,1,0
CLARK,0,0,0,1,1,0,0,0,2
COLUMBIA,1,3,1,0,0,1,1,1,0
COWLITZ,1,0,0,0,0,0,0,1,0
DOUGLAS,2,0,0,0,0,0,0,3,1
FERRY,2,0,0,0,0,1,1,3,1
FRANKLIN,1,0,0,0,0,0,0,1,0
GARFIELD,3,1,2,2,2,3,2,2,3
GRANT,1,0,0,0,0,0,0,1,0
GRAYS HARBOR,1,0,0,0,0,0,0,1,0
ISLAND,2,0,0,0,0,0,0,3,1
JEFFERSON,2,0,0,0,0,0,0,3,1
KING,0,2,3,3,3,2,3,0,2
KITSAP,0,0,0,1,1,0,0,0,2
KITTITAS,1,0,0,1,1,0,0,1,0
KLICKITAT,2,0,0,0,0,0,0,3,1
LEWIS,1,0,0,0,0,0,0,1,0
LINCOLN,1,0,0,0,0,0,0,1,0
MASON,2,0,0,0,0,0,0,3,1
OKANOGAN,2,0,0,0,0,0,0,3,1
PACIFIC,2,0,0,0,0,0,0,3,1
PEND OREILLE,2,0,0,0,0,0,0,3,1
PIERCE,0,0,0,1,1,0,0,0,2
SAN JUAN,2,0,0,0,0,0,0,3,1
SKAGIT,0,0,0,1,1,0,0,0,2
SKAMANIA,2,0,0,0,0,0,0,3,1
SNOHOMISH,0,0,0,1,1,0,0,0,2
SPOKANE,0,0,0,1,1,0,0,0,2
STEVENS,2,0,0,0,0,0,0,3,1
THURSTON,0,0,0,1,1,0,0,0,2
WAHKIAKUM,2,0,0,0,0,0,0,3,1
WALLA WALLA,2,0,0,0,0,0,0,3,1
WHATCOM,0,0,0,1,1,0,0,0,2
WHITMAN,2,0,0,0,0,0,0,3,1
YAKIMA,1,0,0,0,0,0,0,1,0
