,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16
avg_model_year,0.140318375507857,0.38508026717327415,0.2435543751230063,-0.4876843585138618,-0.019500654160220402,-0.1452982698439318,0.049176152240181174,0.005131339523183175,-0.09784012551319925,0.029662407686660702,0.021128039151370577,0.005791032994581347,0.0004414891564226515,4.0240248200111614e-05,-0.00010769167180600848,0.7071067811865547
avg_electric_range,0.18432371988847987,0.40859497273316786,-0.25075853751536686,0.16947485625627134,-0.023414212338427443,-0.13976438291077892,0.17990710201042562,0.040882408013639626,0.7660378607821736,0.24646161339704012,-0.07400352797225568,-0.01710278458262382,-0.004977211354718571,0.0014026400283746376,-1.844839478413811e-05,1.0804369908267587e-14
avg_vehicle_age,-0.14031837550788334,-0.38508026717327004,-0.2435543751229421,0.48768435851386543,0.019500654160243384,0.14529826984394525,-0.049176152240324934,-0.0051313395232126385,0.09784012551351903,-0.029662407686668554,-0.021128039151003804,-0.005791032994354017,-0.0004414891451829493,-4.0240337583026245e-05,0.0001076915844495072,0.7071067811865407
percent_BEV,0.27710337563050713,0.28818858170739137,-0.1928136510502292,0.145373145312808,-0.10002041960540953,0.17401392413481082,-0.1980568317757862,-0.11502000312594089,-0.08943917717337628,-0.38094634912275577,0.18754824662295333,-0.011796426393061046,0.7044955674043387,0.05924147290648034,-0.02920652153752836,-3.697452356560952e-12
percent_PHEV,-0.27671932873293664,-0.28854481511895924,0.19344396584485862,-0.145558946363695,0.10173208316633175,-0.17296676886936935,0.20098703170446972,0.11650108631607896,0.09923003449597192,0.38107192704258813,-0.1665769565350964,-0.02917824043493127,0.7020605506385054,0.07239704598003646,0.0743848342185259,3.6285313803728698e-12
BEV_to_PHEV_ratio,0.265152638761935,0.23974978172998634,-0.24723683698290014,0.29819671252432106,0.01602132114405307,-0.0561227337365612,0.04060075623233689,0.3110583544386729,-0.5586956976801987,0.5032385253273046,-0.22999610553602687,-0.010203043269467419,0.01072969544897832,-0.033591402892184256,-0.026812437487699407,-3.648764419932782e-12
median_income_2025,0.28379543051581374,-0.19460338051927192,-0.15450023612045913,-0.007753786216468363,-0.10804803192913313,-0.11354784087868328,0.8302332091092829,-0.29334049505259807,-0.15538185727876444,-0.17597540521872984,0.0415791611066854,0.03023093204964212,0.00020961502235512637,-0.0014098660045264396,0.0005333520852447148,5.463748430594727e-14
fast_charger_share,0.035470033272376945,0.07457395278268378,0.5392756061198699,0.4593526129709298,-0.31207538234325866,-0.2845296387397524,-0.07479759315746057,-0.3418846666787488,-0.03711009007688866,0.21429849945751295,0.25444186296877663,0.2800144329676454,0.006144203043510347,-0.006490869022190029,5.000422842453867e-05,-5.895175728730582e-13
total_EV_count_log,0.3271180883603768,-0.194118038512336,0.02666327693492113,-0.09950759811637543,-0.12054776465242928,0.08229196522176545,-0.1704174139342316,-0.17422052305823996,0.05188301330089211,0.11421550752132519,-0.2638202784360477,-0.007195027741592378,-0.06933971513804348,0.8150574162281183,-0.09738639244067904,4.6094194834271144e-11
BEV_count_log,0.3329531310610378,-0.1660546028055163,0.014648074277494406,-0.08943256862711613,-0.12398596372492106,0.09556425153684722,-0.18206296676009856,-0.1846861916494576,0.052250772062911434,0.0704885463518292,-0.25429662228535294,-0.017649249385858413,0.005832404779797168,-0.29247026772146817,0.7767525033524101,2.949117616947326e-11
PHEV_count_log,0.31203511369866066,-0.2394606587753648,0.057449762244451474,-0.13477546702805054,-0.12144875967759333,0.080858312412189,-0.17014193018446794,-0.19762870636866783,0.09849906864676927,0.11405099760001058,-0.2938489457569751,-0.025215994491480362,0.0690637882250777,-0.4899157275005357,-0.6164856497496438,-6.955108589515424e-11
total_chargers_log,0.3186030910041334,-0.17188805702489957,0.19565090477078673,0.026866269453919064,0.10878565319859346,0.15086381767249257,0.02336747125889547,0.13108252178575955,0.0569243376401498,0.22837113518532873,0.5535039886943045,-0.6442568379998418,-0.027955503428642,-0.0023522672842234546,0.002877408993540905,1.990139619605947e-13
level1_chargers_log,0.19923504627465435,-0.06463764248612086,-0.06583442702174483,0.0727115260963641,0.7634857781653175,-0.5000714220109655,-0.18334043812051518,-0.2668092850549787,-0.033566449720732805,-0.08411953766831942,0.005969528729051271,0.02199885623035762,0.0008974135703543564,-0.00019650983344046956,-0.00036084121288567923,-6.504473973808187e-14
level2_chargers_log,0.31263080904793034,-0.19900110262107532,0.020910982410625414,-0.12436000191948303,0.19779787355051476,0.24925561328377557,0.02916398291922566,0.3402502205674152,0.10576097934082025,0.10586348785928522,0.3333383337443645,0.7035730429390195,0.014846405050449912,-0.0118734466870698,0.001191767771715336,-1.007471250704988e-12
dc_fast_chargers_log,0.2582400642275207,-0.10141313765892979,0.36997435315998567,0.2171787910861418,-0.07402168250552783,-0.27915767028476157,0.0524907615685279,0.5822021533633408,0.08775440279552248,-0.463743067452703,-0.2891587286169164,-0.08641087374474242,0.00015732371596068867,0.004340703726230153,9.968308133250375e-05,3.5478382649912154e-13
chargers_per_1000_EV_log,-0.018002330821624068,0.25109182301563915,0.4288504980166136,0.22044058475344275,0.43013192661884925,0.5879737753910892,0.24029440319604886,-0.15863330126640338,0.012478898434863162,-0.022476392788739256,-0.2993261356532432,-0.013856535818448422,0.0020781845405652252,0.005863617320478037,-0.0013042444632872536,3.3793470714593343e-13
