PC,explained_variance_ratio,cumulative_variance_ratio
PC1,0.4929793562668119,0.4929793562668119
PC2,0.1898119208619027,0.6827912771287146
PC3,0.12692752140599947,0.8097187985347141
PC4,0.0682546480498105,0.8779734465845246
PC5,0.05274233159410279,0.9307157781786274
PC6,0.036984043376912336,0.9676998215555397
PC7,0.015164217527821369,0.9828640390833611
PC8,0.009909341241434498,0.9927733803247956
PC9,0.004664422778158769,0.9974378031029544
PC10,0.002004762293440631,0.999442565396395
PC11,0.0004704168444791583,0.9999129822408741
PC12,8.281478259073421e-05,0.9999957970234649
PC13,4.0940742597055e-06,0.9999998910977246
PC14,7.644491647868841e-08,0.9999999675426411
PC15,3.2457358902809556e-08,1.0
PC16,2.791908305652501e-27,1.0
